# SignalP-5.0	Organism: euk	Timestamp: 20260406151522
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
Q8F509	OTHER	0.000483	0.999517	
Q8F523	OTHER	0.000771	0.999229	
Q8F525	OTHER	0.002646	0.997354	
Q8F528	OTHER	0.000949	0.999051	
Q8F5D8	OTHER	0.014881	0.985119	
Q8F5F1	OTHER	0.000805	0.999195	
Q8F5G0	OTHER	0.001796	0.998204	
Q8F5H7	OTHER	0.000607	0.999393	
Q8F5H8	OTHER	0.000538	0.999462	
Q8F5I5	OTHER	0.002376	0.997624	
Q8F5K1	OTHER	0.001158	0.998842	
Q8F5U0	OTHER	0.000643	0.999357	
Q8F5Z9	OTHER	0.000430	0.999570	
Q8F625	OTHER	0.020997	0.979003	
Q8F636	OTHER	0.076054	0.923946	
Q8F641	OTHER	0.229792	0.770208	
Q8F648	OTHER	0.001875	0.998125	
Q8F650	OTHER	0.011848	0.988152	
Q8F661	OTHER	0.000860	0.999140	
Q8F663	OTHER	0.005336	0.994664	
Q8F6A0	OTHER	0.001183	0.998817	
Q8F6C0	OTHER	0.001055	0.998945	
Q8F6D0	OTHER	0.001495	0.998505	
Q8F6H0	OTHER	0.001394	0.998606	
Q8F6I1	OTHER	0.000788	0.999212	
Q8F6I3	OTHER	0.000449	0.999551	
Q8F6J3	OTHER	0.001532	0.998468	
Q8F6L8	OTHER	0.000988	0.999012	
Q8F6N9	OTHER	0.002067	0.997933	
Q8F6P4	OTHER	0.000881	0.999119	
Q8F6P5	OTHER	0.000744	0.999256	
Q8F6P7	OTHER	0.000386	0.999614	
Q8F6P9	OTHER	0.001221	0.998779	
Q8F6R1	OTHER	0.000586	0.999414	
Q8F6S7	OTHER	0.001570	0.998430	
Q8F6S9	OTHER	0.000407	0.999593	
Q8F6T0	OTHER	0.272085	0.727915	
Q8F6Y3	OTHER	0.000610	0.999390	
Q8F6Z1	OTHER	0.000652	0.999348	
Q8F708	OTHER	0.000710	0.999290	
Q8F710	OTHER	0.001620	0.998380	
Q8F724	OTHER	0.001921	0.998079	
Q8F738	OTHER	0.003054	0.996946	
Q8F743	OTHER	0.001042	0.998958	
Q8F746	OTHER	0.000975	0.999025	
Q8F747	OTHER	0.001772	0.998228	
Q8F763	OTHER	0.000660	0.999340	
Q8F778	OTHER	0.000587	0.999413	
Q8F7A0	OTHER	0.076237	0.923763	
Q8F7A3	OTHER	0.000564	0.999436	
Q8F7C5	OTHER	0.000709	0.999291	
Q8F7D7	OTHER	0.002142	0.997858	
Q8F7G5	OTHER	0.000793	0.999207	
Q8F7H8	OTHER	0.001338	0.998662	
Q8F7J8	OTHER	0.004796	0.995204	
Q8F7K1	OTHER	0.000561	0.999439	
Q8F7K5	OTHER	0.000583	0.999417	
Q8F7L5	OTHER	0.000640	0.999360	
Q8F7P9	OTHER	0.022606	0.977394	
Q8F7Q0	OTHER	0.002769	0.997231	
Q8F7Q4	OTHER	0.000276	0.999724	
Q8F7Q5	OTHER	0.109391	0.890609	
Q8F7Q7	OTHER	0.027362	0.972638	
Q8F7R0	OTHER	0.021772	0.978228	
Q8F7T2	OTHER	0.000656	0.999344	
Q8F7U0	OTHER	0.001319	0.998681	
Q8F7V4	OTHER	0.035430	0.964570	
Q8F7V9	OTHER	0.001192	0.998808	
Q8F7W8	OTHER	0.001252	0.998748	
Q8F7Y2	OTHER	0.000361	0.999639	
Q8F7Y6	OTHER	0.001678	0.998322	
Q8F812	OTHER	0.000568	0.999432	
Q8F814	OTHER	0.000452	0.999548	
Q8F836	OTHER	0.001468	0.998532	
Q8F865	OTHER	0.000745	0.999255	
Q8F874	OTHER	0.000382	0.999618	
Q8F8A9	OTHER	0.001579	0.998421	
Q8F8B1	OTHER	0.001432	0.998568	
Q8F8C0	OTHER	0.010226	0.989774	
Q8F8D2	OTHER	0.000718	0.999282	
Q8F8D9	OTHER	0.000924	0.999076	
Q8F8E5	OTHER	0.000841	0.999159	
Q8F8F7	SP(Sec/SPI)	0.979271	0.020729	CS pos: 21-22. LMA-TP. Pr: 0.8082
Q8F8K3	OTHER	0.033341	0.966659	
Q8F8N2	OTHER	0.000557	0.999443	
Q8F8Q2	OTHER	0.000527	0.999473	
Q8F8R6	OTHER	0.000566	0.999434	
Q8F8T9	OTHER	0.000466	0.999534	
Q8F930	OTHER	0.000860	0.999140	
Q8F935	OTHER	0.001599	0.998401	
Q8F937	OTHER	0.000324	0.999676	
Q8F964	OTHER	0.000988	0.999012	
Q8F987	OTHER	0.000309	0.999691	
Q8F9E4	OTHER	0.001240	0.998760	
Q8F9F2	OTHER	0.000238	0.999762	
Q8F9F3	OTHER	0.000382	0.999618	
Q8F9F8	OTHER	0.003735	0.996265	
Q8F9L0	OTHER	0.000355	0.999645	
Q8F9N0	OTHER	0.000349	0.999651	
Q8F9N4	OTHER	0.001418	0.998582	
Q8F9Q1	OTHER	0.002120	0.997880	
Q8F9T2	OTHER	0.000535	0.999465	
Q8F9V5	OTHER	0.000561	0.999439	
Q8F9W5	OTHER	0.001371	0.998629	
Q8F9Z2	OTHER	0.000289	0.999711	
Q8FA20	OTHER	0.000668	0.999332	
Q8FA30	OTHER	0.000720	0.999280	
Q8FA34	OTHER	0.001168	0.998832	
Q93LE9	OTHER	0.000318	0.999682	
Q9XD09	OTHER	0.000792	0.999208	
Q9XD19	OTHER	0.000309	0.999691	
Q9XD38	OTHER	0.000697	0.999303	
D4YW21	OTHER	0.003707	0.996293	
D4YW49	OTHER	0.001374	0.998626	
G1UB15	OTHER	0.000487	0.999513	
G1UB17	OTHER	0.001520	0.998480	
G1UB19	OTHER	0.093214	0.906786	
G1UB20	OTHER	0.008759	0.991241	
G1UB28	OTHER	0.007466	0.992534	
O50638	OTHER	0.021747	0.978253	
P52277	OTHER	0.000758	0.999242	
P59115	OTHER	0.095140	0.904860	
P59116	SP(Sec/SPI)	0.634246	0.365754	CS pos: 24-25. IRC-LP. Pr: 0.3340
P61445	OTHER	0.000338	0.999662	
P61447	OTHER	0.000441	0.999559	
P94871	OTHER	0.001118	0.998882	
P94872	OTHER	0.000083	0.999917	
Q7ZAN1	OTHER	0.000311	0.999689	
Q8CVD8	OTHER	0.002541	0.997459	
Q8CVE0	OTHER	0.000574	0.999426	
Q8CVE1	SP(Sec/SPI)	0.967197	0.032803	CS pos: 17-18. VYS-LY. Pr: 0.4863
Q8CVE5	SP(Sec/SPI)	0.845454	0.154546	CS pos: 24-25. LFA-KD. Pr: 0.6293
Q8CVF4	OTHER	0.001475	0.998525	
Q8CXS1	OTHER	0.000634	0.999366	
Q8CXS8	OTHER	0.001839	0.998161	
Q8CXT1	OTHER	0.000814	0.999186	
Q8CXT8	OTHER	0.000813	0.999187	
Q8CXU0	OTHER	0.000960	0.999040	
Q8EX62	OTHER	0.000989	0.999011	
Q8EX81	OTHER	0.000773	0.999227	
Q8EX87	OTHER	0.000643	0.999357	
Q8EXA4	OTHER	0.001275	0.998725	
Q8EXB5	OTHER	0.000976	0.999024	
Q8EXB9	OTHER	0.000365	0.999635	
Q8EXC1	OTHER	0.000706	0.999294	
Q8EXC3	OTHER	0.001470	0.998530	
Q8EXD9	OTHER	0.001094	0.998906	
Q8EXG1	OTHER	0.000385	0.999615	
Q8EXH1	SP(Sec/SPI)	0.891903	0.108097	CS pos: 24-25. LNC-SQ. Pr: 0.4787
Q8EXH2	OTHER	0.140439	0.859561	
Q8EXH5	OTHER	0.000509	0.999491	
Q8EXJ3	OTHER	0.000729	0.999271	
Q8EXK6	OTHER	0.000750	0.999250	
Q8EXK7	OTHER	0.000933	0.999067	
Q8EXM5	OTHER	0.000293	0.999707	
Q8EXN4	OTHER	0.006305	0.993695	
Q8EXP6	OTHER	0.000907	0.999093	
Q8EXQ3	OTHER	0.000532	0.999468	
Q8EXQ8	OTHER	0.242667	0.757333	
Q8EXT3	OTHER	0.002523	0.997477	
Q8EXU1	OTHER	0.001959	0.998041	
Q8EXV5	OTHER	0.000593	0.999407	
Q8EXX4	OTHER	0.000224	0.999776	
Q8EXX5	OTHER	0.001793	0.998207	
Q8EXX8	OTHER	0.000354	0.999646	
Q8EXZ9	OTHER	0.000143	0.999857	
Q8EY21	OTHER	0.004190	0.995810	
Q8EY22	OTHER	0.002383	0.997617	
Q8EY33	OTHER	0.002345	0.997655	
Q8EY37	OTHER	0.032598	0.967402	
Q8EY41	OTHER	0.000455	0.999545	
Q8EY42	OTHER	0.000672	0.999328	
Q8EY43	OTHER	0.001869	0.998131	
Q8EY45	OTHER	0.000318	0.999682	
Q8EY46	OTHER	0.001241	0.998759	
Q8EY52	OTHER	0.000964	0.999036	
Q8EY55	OTHER	0.001469	0.998531	
Q8EY59	OTHER	0.001294	0.998706	
Q8EY69	OTHER	0.000597	0.999403	
Q8EY71	OTHER	0.000721	0.999279	
Q8EY84	OTHER	0.000225	0.999775	
Q8EY85	OTHER	0.000616	0.999384	
Q8EY86	OTHER	0.000572	0.999428	
Q8EY94	OTHER	0.000426	0.999574	
Q8EYA9	OTHER	0.000291	0.999709	
Q8EYB0	OTHER	0.000733	0.999267	
Q8EYB5	OTHER	0.067624	0.932376	
Q8EYC0	OTHER	0.008676	0.991324	
Q8EYF2	OTHER	0.000469	0.999531	
Q8EYG5	OTHER	0.000691	0.999309	
Q8EYJ4	OTHER	0.000593	0.999407	
Q8EYJ5	OTHER	0.000672	0.999328	
Q8EYJ6	OTHER	0.000747	0.999253	
Q8EYJ7	OTHER	0.000566	0.999434	
Q8EYK7	OTHER	0.000612	0.999388	
Q8EYK9	OTHER	0.001122	0.998878	
Q8EYL9	OTHER	0.000475	0.999525	
Q8EYM0	OTHER	0.001183	0.998817	
Q8EYT6	OTHER	0.000482	0.999518	
Q8EYT7	OTHER	0.000406	0.999594	
Q8EYV9	OTHER	0.004711	0.995289	
Q8EYW0	OTHER	0.000815	0.999185	
Q8EYZ4	OTHER	0.000472	0.999528	
Q8EYZ8	OTHER	0.000440	0.999560	
Q8EZ03	OTHER	0.033903	0.966097	
Q8EZ11	OTHER	0.001131	0.998869	
Q8EZ20	OTHER	0.001233	0.998767	
Q8EZ25	OTHER	0.000857	0.999143	
Q8EZ60	OTHER	0.000457	0.999543	
Q8EZ63	OTHER	0.000851	0.999149	
Q8EZ81	OTHER	0.000615	0.999385	
Q8EZ87	OTHER	0.001217	0.998783	
Q8EZ91	OTHER	0.001154	0.998846	
Q8EZ92	OTHER	0.000674	0.999326	
Q8EZ97	OTHER	0.000815	0.999185	
Q8EZA7	OTHER	0.018425	0.981575	
Q8EZE9	OTHER	0.009571	0.990429	
Q8EZF9	OTHER	0.036616	0.963384	
Q8EZG0	OTHER	0.000382	0.999618	
Q8EZG9	OTHER	0.001442	0.998558	
Q8EZI5	OTHER	0.000991	0.999009	
Q8EZJ5	OTHER	0.000278	0.999722	
Q8EZM1	OTHER	0.000630	0.999370	
Q8EZM8	OTHER	0.000745	0.999255	
Q8EZM9	OTHER	0.003165	0.996835	
Q8EZN1	OTHER	0.000246	0.999754	
Q8EZP6	OTHER	0.197620	0.802380	
Q8EZQ2	OTHER	0.002816	0.997184	
Q8EZQ3	OTHER	0.000496	0.999504	
Q8EZR9	OTHER	0.001286	0.998714	
Q8EZT4	OTHER	0.000386	0.999614	
Q8EZU7	OTHER	0.000616	0.999384	
Q8EZV4	OTHER	0.001818	0.998182	
Q8EZY7	OTHER	0.000831	0.999169	
Q8EZZ9	OTHER	0.021993	0.978007	
Q8F003	SP(Sec/SPI)	0.750980	0.249020	CS pos: 20-21. SLT-SL. Pr: 0.2390
Q8F024	OTHER	0.072005	0.927995	
Q8F029	OTHER	0.000303	0.999697	
Q8F035	OTHER	0.000310	0.999690	
Q8F052	OTHER	0.000659	0.999341	
Q8F059	OTHER	0.007048	0.992952	
Q8F063	OTHER	0.001566	0.998434	
Q8F066	OTHER	0.357592	0.642408	
Q8F068	OTHER	0.001688	0.998312	
Q8F071	OTHER	0.006312	0.993688	
Q8F074	OTHER	0.291454	0.708546	
Q8F083	OTHER	0.169361	0.830639	
Q8F091	OTHER	0.040103	0.959897	
Q8F0C1	OTHER	0.000222	0.999778	
Q8F0C2	OTHER	0.000578	0.999422	
Q8F0C3	OTHER	0.002901	0.997099	
Q8F0D1	OTHER	0.000254	0.999746	
Q8F0D5	OTHER	0.000574	0.999426	
Q8F0H8	OTHER	0.013145	0.986855	
Q8F0I0	OTHER	0.000707	0.999293	
Q8F0I4	SP(Sec/SPI)	0.956085	0.043915	CS pos: 20-21. LSC-KD. Pr: 0.4902
Q8F0N8	OTHER	0.001418	0.998582	
Q8F0Q0	OTHER	0.002463	0.997537	
Q8F0Q7	OTHER	0.002061	0.997939	
Q8F0Q8	SP(Sec/SPI)	0.943380	0.056620	CS pos: 23-24. LEA-KV. Pr: 0.8306
Q8F0R6	OTHER	0.000459	0.999541	
Q8F0R7	OTHER	0.000393	0.999607	
Q8F0R8	OTHER	0.000861	0.999139	
Q8F0R9	OTHER	0.000633	0.999367	
Q8F0S0	OTHER	0.000401	0.999599	
Q8F0S1	OTHER	0.001645	0.998355	
Q8F0S2	OTHER	0.000559	0.999441	
Q8F0S5	OTHER	0.001092	0.998908	
Q8F0S9	OTHER	0.000992	0.999008	
Q8F0T2	OTHER	0.000876	0.999124	
Q8F0T3	OTHER	0.000899	0.999101	
Q8F0U5	OTHER	0.000466	0.999534	
Q8F0W3	OTHER	0.000372	0.999628	
Q8F0Y4	OTHER	0.000416	0.999584	
Q8F0Z0	OTHER	0.019004	0.980996	
Q8F131	OTHER	0.002224	0.997776	
Q8F136	OTHER	0.000634	0.999366	
Q8F140	OTHER	0.000967	0.999033	
Q8F141	OTHER	0.000688	0.999312	
Q8F143	OTHER	0.000899	0.999101	
Q8F144	OTHER	0.000539	0.999461	
Q8F148	OTHER	0.000493	0.999507	
Q8F149	OTHER	0.000662	0.999338	
Q8F150	OTHER	0.001950	0.998050	
Q8F169	SP(Sec/SPI)	0.775010	0.224990	CS pos: 19-20. AVA-YL. Pr: 0.2054
Q8F192	OTHER	0.430916	0.569084	
Q8F1A2	OTHER	0.001006	0.998994	
Q8F1C9	OTHER	0.000507	0.999493	
Q8F1D9	OTHER	0.001204	0.998796	
Q8F1E6	OTHER	0.002106	0.997894	
Q8F1F4	OTHER	0.000537	0.999463	
Q8F1J2	OTHER	0.010875	0.989125	
Q8F1J6	SP(Sec/SPI)	0.989207	0.010793	CS pos: 20-21. SGC-KE. Pr: 0.7816
Q8F1L3	SP(Sec/SPI)	0.664091	0.335909	CS pos: 25-26. CAG-FF. Pr: 0.3199
Q8F1M1	OTHER	0.071815	0.928185	
Q8F1M2	OTHER	0.038857	0.961143	
Q8F1M3	OTHER	0.000838	0.999162	
Q8F1N7	OTHER	0.000206	0.999794	
Q8F1P3	OTHER	0.003003	0.996997	
Q8F1P9	OTHER	0.000199	0.999801	
Q8F1T7	OTHER	0.000573	0.999427	
Q8F1X4	OTHER	0.001246	0.998754	
Q8F1Y4	OTHER	0.000434	0.999566	
Q8F201	OTHER	0.000925	0.999075	
Q8F204	SP(Sec/SPI)	0.961090	0.038910	CS pos: 19-20. GSG-IL. Pr: 0.4086
Q8F244	OTHER	0.000116	0.999884	
Q8F245	OTHER	0.000266	0.999734	
Q8F246	OTHER	0.000844	0.999156	
Q8F247	OTHER	0.000200	0.999800	
Q8F248	OTHER	0.000215	0.999785	
Q8F249	OTHER	0.000379	0.999621	
Q8F251	OTHER	0.000830	0.999170	
Q8F253	OTHER	0.002497	0.997503	
Q8F289	OTHER	0.000959	0.999041	
Q8F290	OTHER	0.001344	0.998656	
Q8F2C6	OTHER	0.002170	0.997830	
Q8F2G2	OTHER	0.001140	0.998860	
Q8F2G6	OTHER	0.000780	0.999220	
Q8F2H8	OTHER	0.001638	0.998362	
Q8F2I3	OTHER	0.091815	0.908185	
Q8F2I8	OTHER	0.001691	0.998309	
Q8F2J0	OTHER	0.000959	0.999041	
Q8F2J1	OTHER	0.001400	0.998600	
Q8F2J4	OTHER	0.000242	0.999758	
Q8F2L2	OTHER	0.002217	0.997783	
Q8F2L4	OTHER	0.011326	0.988674	
Q8F2L6	OTHER	0.001788	0.998212	
Q8F2M2	OTHER	0.001483	0.998517	
Q8F2N6	OTHER	0.002217	0.997783	
Q8F2Q1	OTHER	0.000436	0.999564	
Q8F2Q3	OTHER	0.004945	0.995055	
Q8F2R4	OTHER	0.000965	0.999035	
Q8F2R6	OTHER	0.002714	0.997286	
Q8F2R8	OTHER	0.000942	0.999058	
Q8F2S8	OTHER	0.000908	0.999092	
Q8F2T1	OTHER	0.000694	0.999306	
Q8F2V0	OTHER	0.000707	0.999293	
Q8F2V1	OTHER	0.338081	0.661919	
Q8F2V3	SP(Sec/SPI)	0.697554	0.302446	CS pos: 24-25. VFS-LN. Pr: 0.4586
Q8F2W4	OTHER	0.000851	0.999149	
Q8F2Y6	OTHER	0.000435	0.999565	
Q8F2Z8	OTHER	0.001656	0.998344	
Q8F2Z9	OTHER	0.393471	0.606529	
Q8F300	OTHER	0.195089	0.804911	
Q8F301	OTHER	0.000408	0.999592	
Q8F302	OTHER	0.138162	0.861838	
Q8F304	OTHER	0.001745	0.998255	
Q8F305	OTHER	0.000375	0.999625	
Q8F308	OTHER	0.000455	0.999545	
Q8F318	OTHER	0.000591	0.999409	
Q8F319	OTHER	0.000699	0.999301	
Q8F320	OTHER	0.000215	0.999785	
Q8F321	OTHER	0.000652	0.999348	
Q8F322	OTHER	0.000176	0.999824	
Q8F332	OTHER	0.000862	0.999138	
Q8F348	OTHER	0.001883	0.998117	
Q8F349	OTHER	0.000158	0.999842	
Q8F361	SP(Sec/SPI)	0.998677	0.001323	CS pos: 22-23. TFA-ED. Pr: 0.9603
Q8F362	OTHER	0.001971	0.998029	
Q8F370	OTHER	0.001110	0.998890	
Q8F375	OTHER	0.032574	0.967426	
Q8F376	OTHER	0.000990	0.999010	
Q8F383	OTHER	0.000482	0.999518	
Q8F392	OTHER	0.003773	0.996227	
Q8F3A1	OTHER	0.000275	0.999725	
Q8F3B3	OTHER	0.007676	0.992324	
Q8F3H5	OTHER	0.001928	0.998072	
Q8F3H7	OTHER	0.222523	0.777477	
