SEQENCE ID                     TM SP PREDICTION
Q8F7T2                          0  0 o
Q8F7U0                          0  0 o
Q8F7V4                          1  0 i12-29o
Q8F7V9                          0  0 o
Q8F7W8                          0  0 o
Q8F7Y2                          0  0 o
Q8F7Y6                          0  0 o
Q8F812                          0  0 o
Q8F814                          0  0 o
Q8F836                          0  0 i
Q8F865                          0  0 o
Q8F874                          0  0 i
Q8F8A9                          0  0 o
Q8F8B1                          0  0 o
Q8F8C0                          0  0 o
Q8F8D2                          0  0 o
Q8F8D9                          0  0 o
Q8F8E5                          0  0 o
Q8F8F7                          0  Y n6-16c21/22o
Q8F8K3                          1  0 o6-28i
Q8F8N2                          0  0 o
Q8F8Q2                          0  0 o
Q8F8R6                          0  0 o
Q8F8T9                          0  0 o
Q8F930                          0  0 o
Q8F935                          0  0 o
Q8F937                          0  0 o
Q8F964                          0  0 o
Q8F987                          0  0 o
Q8F9E4                          0  0 o
Q8F9F2                         12  0 i33-55o75-103i115-135o155-181i202-226o246-270i282-303o315-339i351-374o386-411i423-451o471-492i
Q8F9F3                          2  0 o15-39i60-79o
Q8F9F8                          9  0 i18-34o40-64i85-105o111-132i139-158o164-188i213-230o236-256i268-285o
Q8F9L0                          0  0 o
Q8F9N0                          0  0 o
Q8F9N4                          0  0 o
Q8F9Q1                          0  0 o
Q8F9T2                          0  0 o
Q8F9V5                          0  0 o
Q8F9W5                          0  0 o
Q8F9Z2                          0  0 o
Q8FA20                          0  0 i
Q8FA30                          0  0 o
Q8FA34                          0  0 o
Q93LE9                          0  0 i
Q9XD09                          0  0 o
Q9XD19                          0  0 o
Q9XD38                          0  0 o
D4YW21                          0  0 i
D4YW49                          0  0 o
G1UB15                          0  0 o
G1UB17                          0  0 o
G1UB19                          9  Y n18-28c46/47o70-98i118-139o159-180i187-204o219-239i276-296o319-341i382-404o416-435i
G1UB20                          2  0 i7-25o37-55i
G1UB28                          0  0 o
O50638                          0  0 o
P52277                          0  0 o
P59115                          0  Y n23-34c38/39o
P59116                          0  Y n10-19c24/25o
P61445                          0  0 o
P61447                          0  0 o
P94871                          0  0 o
P94872                          0  0 o
Q7ZAN1                          0  0 o
Q8CVD8                          1  0 o376-399i
Q8CVE0                          0  0 o
Q8CVE1                          0  Y n3-13c20/21o
Q8CVE5                          0  Y n8-16c24/25o
Q8CVF4                          1  0 i21-43o
Q8CXS1                          0  0 o
Q8CXS8                          0  0 o
Q8CXT1                          0  0 o
Q8CXT8                          0  0 o
Q8CXU0                          0  0 o
Q8EX62                          0  0 o
Q8EX81                          0  0 o
Q8EX87                          0  0 o
Q8EXA4                          0  0 o
Q8EXB5                          0  0 o
Q8EXB9                          0  0 o
Q8EXC1                          0  0 o
Q8EXC3                          7  0 o12-35i47-67o79-99i106-125o157-176i188-211o217-236i
Q8EXD9                          0  0 o
Q8EXG1                          0  0 o
Q8EXH1                          7  Y n9-20c24/25o211-230i237-254o274-294i301-321o327-347i359-380o386-404i
Q8EXH2                          1  0 o299-325i
Q8EXH5                          0  0 o
Q8EXJ3                          1  0 o171-192i
Q8EXK6                          0  0 o
Q8EXK7                          0  0 o
Q8EXM5                          0  0 i
Q8EXN4                          4  0 i7-32o38-61i163-183o195-218i
Q8EXP6                          0  0 o
Q8EXQ3                          0  0 o
Q8EXQ8                          3  0 i48-69o75-94i292-314o
Q8EXT3                          0  0 o
Q8EXU1                          0  0 o
Q8EXV5                          0  0 o
Q8EXX4                          0  0 o
Q8EXX5                          0  0 o
Q8EXX8                          0  0 o
Q8EXZ9                          0  0 o
Q8EY21                          0  0 o
Q8EY22                          0  0 o
Q8EY33                          0  0 o
Q8EY37                          0  0 o
Q8EY41                          0  0 o
Q8EY42                          0  0 o
Q8EY43                          2  0 i10-29o68-87i
Q8EY45                          0  0 i
Q8EY46                          0  0 o
Q8EY52                          0  0 o
Q8EY55                          0  0 o
Q8EY59                          0  0 o
Q8EY69                          0  0 o
Q8EY71                          0  0 o
Q8EY84                          0  0 o
Q8EY85                          0  0 o
Q8EY86                          0  0 o
Q8EY94                          0  0 o
Q8EYA9                          0  0 o
Q8EYB0                          0  0 o
Q8EYB5                         13  0 o6-25i32-50o56-75i87-110o116-136i148-170o186-204i216-234o240-258i270-288o294-315i336-354o360-378i
Q8EYC0                         13  0 o6-26i33-55o61-78i90-111o123-142i154-172o184-206i218-238o244-264i271-287o293-317i329-352o358-377i
Q8EYF2                          0  0 o
Q8EYG5                          0  0 o
Q8EYJ4                          0  0 o
Q8EYJ5                          0  0 o
Q8EYJ6                          0  0 o
Q8EYJ7                          0  0 o
Q8EYK7                          0  0 o
Q8EYK9                          0  0 o
Q8EYL9                          0  0 o
Q8EYM0                          0  0 o
Q8EYT6                          6  0 i23-46o52-71i78-99o105-122i129-146o158-176i
Q8EYT7                          5  0 o16-35i42-61o73-89i96-114o126-143i
Q8EYV9                          1  Y n9-20c24/25o40-62i
Q8EYW0                          0  0 o
Q8EYZ4                          0  0 o
Q8EYZ8                          0  0 o
Q8EZ03                          0  0 o
Q8EZ11                          0  0 o
Q8EZ20                         12  0 i29-48o68-86i98-116o122-138i159-183o189-208i256-274o294-313i325-347o353-374i381-400o420-439i
Q8EZ25                          1  0 o369-392i
Q8EZ60                          0  0 o
Q8EZ63                          7  0 o163-184i196-215o227-247i259-282o288-306i318-342o348-366i
Q8EZ81                          0  0 i
Q8EZ87                          0  0 o
Q8EZ91                         12  0 i39-60o72-95i116-139o159-176i188-209o221-242i283-305o311-330i342-363o383-405i417-437o443-461i
Q8EZ92                          0  0 o
Q8EZ97                          0  0 o
Q8EZA7                          0  0 o
Q8EZE9                          0  0 o
Q8EZF9                          0  0 o
Q8EZG0                          0  0 o
Q8EZG9                          0  0 o
Q8EZI5                          0  0 i
Q8EZJ5                          0  0 o
Q8EZM1                          0  0 i
Q8EZM8                          0  0 o
Q8EZM9                          0  0 o
Q8EZN1                          0  0 o
Q8EZP6                         11  Y n2-11c16/17o26-50i62-81o112-134i141-164o176-197i209-229o241-262i274-293o299-316i328-355o361-386i
Q8EZQ2                          0  0 o
Q8EZQ3                          0  0 o
Q8EZR9                          0  0 o
Q8EZT4                          0  0 o
Q8EZU7                          1  0 i21-44o
Q8EZV4                          0  0 o
Q8EZY7                          0  0 o
Q8EZZ9                          0  Y n8-23c28/29o
Q8F003                          5  Y n3-14c22/23o87-113i170-187o193-210i277-297o303-322i
Q8F024                          0  0 o
Q8F029                          0  0 o
Q8F035                          0  0 o
Q8F052                          0  0 o
Q8F059                          0  0 o
Q8F063                          0  0 o
Q8F066                          5  Y n4-15c20/21o81-110i164-180o186-204i264-293o299-316i
Q8F068                          0  0 o
Q8F071                          0  Y n4-14c21/22o
Q8F074                         10  Y n10-22c27/28o37-56i77-97o117-139i146-168o180-201i222-239o251-277i306-326o338-356i368-389o
Q8F083                          0  0 o
Q8F091                          0  Y n8-19c23/24o
Q8F0C1                          1  0 o28-50i
Q8F0C2                          1  0 o20-44i
Q8F0C3                          0  0 o
Q8F0D1                          0  0 o
Q8F0D5                          0  0 o
Q8F0H8                          6  0 i12-32o52-72i84-105o117-135i147-170o190-213i
Q8F0I0                          0  0 o
Q8F0I4                          0  Y n4-12c17/18o
Q8F0N8                          0  0 o
Q8F0Q0                          0  0 o
Q8F0Q7                          0  0 o
Q8F0Q8                          0  Y n8-18c23/24o
Q8F0R6                          1  0 o25-46i
Q8F0R7                          0  0 o
Q8F0R8                          0  0 o
Q8F0R9                          0  0 i
Q8F0S0                          0  0 o
Q8F0S1                          0  0 o
Q8F0S2                          0  0 o
Q8F0S5                          0  0 i
Q8F0S9                          0  0 o
Q8F0T2                          0  0 o
Q8F0T3                          0  0 o
Q8F0U5                          0  0 o
Q8F0W3                          0  0 o
Q8F0Y4                         10  0 i12-37o49-67i79-101o113-132i139-159o179-197i204-226o232-253i273-292o298-316i
Q8F0Z0                         15  0 o6-28i40-61o87-111i123-142o176-199i211-230o250-267i274-294o314-331i352-376o388-408i415-436o456-473i507-525o705-724i
Q8F131                         11  0 o6-29i54-73o79-97i104-121o136-154i161-180o186-204i216-236o242-262i288-307o313-333i
Q8F136                          0  0 o
Q8F140                          0  0 o
Q8F141                          0  0 o
Q8F143                          0  0 o
Q8F144                          0  0 o
Q8F148                          0  0 o
Q8F149                          0  0 o
Q8F150                          0  0 o
Q8F169                          1  0 o6-23i
Q8F192                          4  0 i12-32o68-91i172-195o215-236i
Q8F1A2                          1  0 o125-143i
Q8F1C9                          8  0 o22-42i63-87o99-122i134-155o167-190i202-225o273-295i461-484o
Q8F1D9                          0  0 o
Q8F1E6                          0  0 o
Q8F1F4                          0  0 o
Q8F1J2                          0  0 o
Q8F1J6                          0  Y n4-16c20/21o
Q8F1L3                          1  0 o6-27i
Q8F1M1                         10  0 o6-27i58-79o134-158i170-192o250-270i277-298o370-390i410-430o475-499i520-546o
Q8F1M2                          0  Y n13-24c33/34o
Q8F1M3                          4  0 i387-405o411-429i436-458o464-481i
Q8F1N7                          0  0 o
Q8F1P3                          0  0 o
Q8F1P9                          0  0 o
Q8F1T7                          0  0 o
Q8F1X4                          7  0 o26-43i59-81o115-138i145-163o205-222i234-252o281-305i
Q8F1Y4                          0  0 o
Q8F201                          0  0 o
Q8F204                          0  Y n3-14c18/19o
Q8F244                          0  0 o
Q8F245                          0  0 o
Q8F246                          0  0 o
Q8F247                          0  0 o
Q8F248                          0  0 o
Q8F249                          0  0 o
Q8F251                          0  0 o
Q8F253                          0  0 i
Q8F289                          0  0 o
Q8F290                          0  0 o
Q8F2C6                          0  0 o
Q8F2G2                          0  0 o
Q8F2G6                          0  0 o
Q8F2H8                          2  0 i281-300o312-331i
Q8F2I3                          1  0 o20-36i
Q8F2I8                          6  0 i81-101o138-158i198-219o231-249i261-285o297-323i
Q8F2J0                          1  0 o14-33i
Q8F2J1                          0  0 o
Q8F2J4                          0  0 o
Q8F2L2                          0  0 o
Q8F2L4                          0  Y n25-36c41/42o
Q8F2L6                          1  0 i21-40o
Q8F2M2                          0  0 o
Q8F2N6                          0  0 o
Q8F2Q1                          6  0 i21-43o49-69i76-92o98-115i122-139o145-168i
Q8F2Q3                          3  0 i12-29o41-71i83-105o
Q8F2R4                          6  0 i39-57o69-89i101-119o125-143i150-169o181-201i
Q8F2R6                          0  0 o
Q8F2R8                          0  0 o
Q8F2S8                          0  0 o
Q8F2T1                          0  0 o
Q8F2V0                          0  0 o
Q8F2V1                          0  0 o
Q8F2V3                          0  Y n8-19c24/25o
Q8F2W4                          0  0 o
Q8F2Y6                          0  0 o
Q8F2Z8                          0  0 o
Q8F2Z9                          1  Y n14-24c32/33o112-134i
Q8F300                          4  Y n2-15c19/20o43-71i92-109o189-214i226-247o
Q8F301                          2  0 o20-38i50-70o
Q8F302                          5  Y n10-21c29/30o39-57i69-92o128-149i174-197o217-236i
Q8F304                          8  0 o12-28i35-54o60-77i89-105o111-132i202-221o241-261i282-315o
Q8F305                          0  0 o
Q8F308                          0  0 o
Q8F318                          0  0 o
Q8F319                          0  0 o
Q8F320                          2  0 i25-46o467-488i
Q8F321                          0  0 o
Q8F322                          0  0 o
Q8F332                          8  0 o292-312i348-372o392-414i426-452o464-486i523-543o646-665i672-697o
Q8F348                          0  0 o
Q8F349                          1  0 i44-62o
Q8F361                          0  Y n6-17c22/23o
Q8F362                          0  0 o
Q8F370                          0  0 o
Q8F375                          2  0 o361-384i636-654o
Q8F376                          0  0 o
Q8F383                          0  0 o
Q8F392                          0  0 o
Q8F3A1                          0  0 o
Q8F3B3                          0  0 o
Q8F3H5                          0  0 o
Q8F3H7                          2  0 o6-24i182-202o
Q8F3H8                          0  0 o
Q8F3I2                          0  0 o
Q8F3I5                          0  0 o
Q8F3I6                          0  0 o
Q8F3I8                          0  0 o
Q8F3I9                         12  0 i27-47o53-73i82-99o105-123i144-166o172-191i226-243o278-295i307-326o338-362i369-388o400-420i
Q8F3J2                          0  0 o
Q8F3J8                          0  0 o
Q8F3K1                          4  0 i12-32o47-68i89-107o281-302i
Q8F3K6                          0  0 o
Q8F3K8                          0  0 o
Q8F3L1                          0  0 i
Q8F3L2                          0  0 o
Q8F3L3                          0  0 o
Q8F3L4                          0  0 o
Q8F3M7                          0  0 o
Q8F3M8                          3  0 i170-194o214-243i378-399o
Q8F3P5                          0  0 o
Q8F3Q5                          0  0 o
Q8F3R3                          0  0 o
Q8F3R5                          0  Y n3-11c16/17o
Q8F3R8                          9  0 i28-47o59-82i103-122o128-146i153-170o182-202i223-241o247-264i285-307o
Q8F3S1                          0  0 o
Q8F3S2                          0  0 o
Q8F3S9                          0  0 o
Q8F3V8                          0  0 o
Q8F3X5                          0  0 o
Q8F3Y7                          0  0 o
Q8F412                          0  0 o
Q8F418                          0  0 o
Q8F424                          0  0 o
Q8F425                          0  0 o
Q8F426                          6  0 o12-34i41-61o424-443i485-507o519-536i548-568o
Q8F430                          5  0 i298-319o325-351i372-393o399-425i437-462o
Q8F439                          1  0 o24-46i
Q8F440                          6  0 i7-26o32-56i68-92o112-131i143-165o185-210i
Q8F447                          0  0 o
Q8F453                          0  0 o
Q8F454                          0  0 o
Q8F457                          0  Y n4-15c23/24o
Q8F460                          0  Y n4-15c20/21o
Q8F475                          0  0 o
Q8F479                          0  0 o
Q8F482                          0  0 o
Q8F483                          0  0 o
Q8F492                          0  0 o
Q8F495                          0  0 o
Q8F496                          0  0 o
Q8F497                          0  0 o
Q8F4A2                          0  0 o
Q8F4A7                          0  0 o
Q8F4B1                          0  0 o
Q8F4B2                          0  0 o
Q8F4C2                          0  0 o
Q8F4C5                          0  0 o
Q8F4C6                          0  0 o
Q8F4C8                          6  0 i21-42o62-85i105-132o138-164i171-192o228-249i
Q8F4D5                          0  0 o
Q8F4D7                          0  0 o
Q8F4D8                          0  0 o
Q8F4E5                          0  0 o
Q8F4G0                          0  0 o
Q8F4G4                          0  Y n3-14c18/19o
Q8F4G5                          0  0 o
Q8F4H2                          0  0 o
Q8F4H7                          0  0 o
Q8F4J0                          1  0 i9-27o
Q8F4J6                          0  0 o
Q8F4J9                          0  0 o
Q8F4K1                          0  0 o
Q8F4M3                          0  0 o
Q8F4M8                          1  0 i155-175o
Q8F4N0                          0  0 o
Q8F4N2                          0  0 o
Q8F4N3                          0  Y n17-24c29/30o
Q8F4N9                          5  0 o16-38i50-67o107-130i142-163o178-195i
Q8F4Q2                          0  0 o
Q8F4R6                          0  0 o
Q8F4W0                          0  0 o
Q8F4W2                          1  0 o6-27i
Q8F4W3                          7  0 o41-62i74-95o101-120i132-151o183-207i219-236o242-263i
Q8F4Z1                          0  0 o
Q8F513                          0  0 o
Q8F522                          0  0 o
Q8F527                          0  0 o
Q8F5D6                          0  0 o
Q8F5D7                          2  0 o6-29i179-205o
Q8F5E2                          0  0 o
Q8F5E7                         13  0 o27-46i86-109o129-147i159-179o185-209i229-257o277-297i318-339o359-382i389-409o415-434i455-476o496-521i
Q8F5G2                          0  0 o
Q8F5G9                          1  0 i20-43o
Q8F5I6                          1  Y n5-20c28/29o52-72i
Q8F5I8                          0  0 o
Q8F5J3                          0  0 o
Q8F5J6                          0  0 o
Q8F5J7                          0  0 o
Q8F5K2                          0  0 o
Q8F5K3                          0  0 o
Q8F5K4                          0  0 i
Q8F5K5                          0  0 o
Q8F5K6                          0  0 o
Q8F5L7                          0  0 o
Q8F5L8                          0  0 o
Q8F5N4                          0  0 o
Q8F5P6                          0  0 o
Q8F5Q9                          0  0 o
Q8F5R0                          0  0 o
Q8F5R7                          6  0 i32-54o74-101i163-182o188-208i281-300o306-331i
Q8F5T5                          0  0 o
Q8F5W4                          6  0 i41-63o69-88i100-117o123-139i144-163o175-197i
Q8F5X0                          0  0 o
Q8F5X3                         12  0 i14-36o337-356i363-385o397-417i449-467o479-505i537-555o872-891i898-917o923-945i978-995o1001-1028i
Q8F5Y6                          0  0 o
Q8F5Z6                          0  0 o
Q8F5Z7                          0  0 o
Q8F601                          0  Y n8-19c24/25o
Q8F629                          0  0 o
Q8F631                          0  0 o
Q8F632                          0  0 o
Q8F649                          0  0 o
Q8F652                          0  Y n4-15c20/21o
Q8F660                          8  0 i7-26o38-57i78-97o109-129i141-159o165-182i203-219o225-246i
Q8F690                          0  0 o
Q8F6B7                          0  0 o
Q8F6D8                          0  0 i
Q8F6E4                          0  0 o
Q8F6F9                          2  0 i9-29o179-204i
Q8F6K1                          0  0 o
Q8F6L0                          0  0 o
Q8F6P0                          0  0 i
Q8F6P1                          0  0 o
Q8F6P3                          0  0 o
Q8F6P6                          0  Y n8-15c23/24o
Q8F6Q0                          0  0 o
Q8F6Q4                          0  0 i
Q8F6Q5                          0  0 i
Q8F6Q7                          0  0 o
Q8F6Q8                          0  0 i
Q8F6Q9                          0  0 i
Q8F6S0                          0  0 o
Q8F6S8                          0  0 o
Q8F6U5                          0  0 o
Q8F6W6                          0  0 o
Q8F6W9                          0  0 o
Q8F6X4                          0  0 o
Q8F6Z3                          5  0 o12-38i59-85o105-125i137-157o246-267i
Q8F703                          0  0 o
Q8F705                          6  0 i7-28o146-167i174-197o203-222i253-271o277-300i
Q8F706                          5  Y n4-15c21/22o473-491i498-520o526-548i569-591o597-617i
Q8F707                          1  0 o20-39i
Q8F709                          6  0 i7-28o34-56i68-88o94-114i126-148o204-223i
Q8F717                          0  0 o
Q8F723                          1  0 i12-30o
Q8F729                          0  0 i
Q8F736                          0  0 o
Q8F737                          0  0 o
Q8F752                          0  0 o
Q8F766                          0  0 o
Q8F768                          0  0 o
Q8F7B2                          0  0 o
Q8F7C6                          0  0 o
Q8F7D9                          1  0 o12-30i
Q8F7H4                          0  0 o
Q8F7H5                          8  0 i21-40o52-69i89-109o115-133i140-161o167-186i198-215o221-245i
Q8F7I1                          1  0 o47-67i
Q8F7I9                          0  0 o
Q8F7J9                          0  0 o
Q8F7K0                          0  0 i
Q8F7K2                          0  0 o
Q8F7K3                          0  0 o
Q8F7L2                          0  0 o
Q8F7N5                          0  0 o
Q8F7Q1                          0  0 o
Q8F7Q2                          0  0 o
Q8F7Q3                          0  0 o
Q8F7Q6                          5  0 o6-28i35-57o63-81i101-118o198-219i
Q8F7Q9                          9  0 o20-40i61-82o102-119i131-151o157-176i188-206o226-255i262-283o303-322i
Q8F7S2                          0  Y n9-21c25/26o
Q8F7S5                          0  0 o
Q8F7T1                          0  0 o
Q8F7T9                          0  0 o
Q8F7U1                          0  0 o
Q8F7U3                          0  0 o
Q8F7V2                          0  0 o
Q8F7X7                          8  0 i7-28o203-221i228-245o265-281i293-311o317-336i348-367o373-392i
Q8F801                          0  0 o
Q8F870                          0  0 o
Q8F880                          2  0 i7-31o313-332i
Q8F882                          1  Y n11-22c27/28o309-331i
Q8F887                          0  0 o
Q8F892                          0  Y n6-17c21/22o
